time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,temp,moving,grade_smooth,activity_id,activity_name
0,0.0,46.163773,6.148497,424.2,0.0,124,16,False,0.0,14553029679,Evening Ride
1,5.0,46.163762,6.14856,424.2,0.0,124,16,True,0.0,14553029679,Evening Ride
2,10.0,46.16375,6.148623,424.2,0.0,124,16,True,0.0,14553029679,Evening Ride
3,16.2,46.163733,6.148698,424.2,5.4,123,16,True,0.0,14553029679,Evening Ride
4,19.6,46.163721,6.148737,424.2,4.9,123,16,True,0.0,14553029679,Evening Ride
5,24.3,46.163701,6.148791,424.2,4.86,123,16,True,0.0,14553029679,Evening Ride
6,31.0,46.163671,6.148867,424.2,5.2,123,16,True,0.0,14553029679,Evening Ride
7,40.0,46.163623,6.14896,424.2,6.0,123,16,True,0.0,14553029679,Evening Ride
8,47.9,46.163578,6.149037,424.2,6.34,124,16,True,0.0,14553029679,Evening Ride
9,55.1,46.163536,6.149109,424.2,7.1,124,16,True,0.0,14553029679,Evening Ride
10,60.2,46.163511,6.149164,424.2,7.18,124,16,True,0.0,14553029679,Evening Ride
11,62.7,46.163511,6.149192,424.2,6.34,125,16,True,0.0,14553029679,Evening Ride
12,65.8,46.163507,6.149225,424.2,5.16,126,16,True,0.0,14553029679,Evening Ride
13,69.4,46.1635,6.149267,424.2,4.3,126,16,True,0.0,14553029679,Evening Ride
14,72.1,46.1635,6.149301,424.2,3.4,128,16,True,0.0,14553029679,Evening Ride
15,77.2,46.163479,6.149358,424.2,3.4,128,16,True,0.0,14553029679,Evening Ride
16,85.2,46.163439,6.149444,424.2,4.5,128,16,True,0.0,14553029679,Evening Ride
17,93.7,46.163397,6.149536,424.2,5.58,129,16,True,0.0,14553029679,Evening Ride
18,101.7,46.163357,6.149621,424.2,6.46,130,16,True,0.0,14553029679,Evening Ride
19,109.4,46.163314,6.149703,424.2,7.46,130,16,True,0.0,14553029679,Evening Ride
20,116.8,46.163274,6.149779,424.2,7.92,130,16,True,0.0,14553029679,Evening Ride
21,123.7,46.163236,6.149849,424.2,7.7,131,16,True,0.0,14553029679,Evening Ride
22,131.8,46.163187,6.149925,424.2,7.62,131,16,True,0.0,14553029679,Evening Ride
23,141.2,46.163122,6.150004,424.2,7.9,131,16,True,0.0,14553029679,Evening Ride
24,150.0,46.163061,6.150074,424.2,8.12,131,16,True,0.0,14553029679,Evening Ride
25,156.3,46.163018,6.150128,424.2,7.9,130,16,True,0.0,14553029679,Evening Ride
26,162.0,46.162979,6.150179,424.2,7.66,131,16,True,0.0,14553029679,Evening Ride
27,169.7,46.162931,6.150249,424.2,7.58,131,16,True,0.0,14553029679,Evening Ride
28,177.2,46.162883,6.150316,424.2,7.2,131,16,True,0.0,14553029679,Evening Ride
29,185.1,46.162832,6.150386,424.2,7.02,131,16,True,0.0,14553029679,Evening Ride
30,193.8,46.162773,6.150463,424.2,7.5,131,16,True,0.0,14553029679,Evening Ride
31,200.4,46.162733,6.150524,424.2,7.68,131,16,True,0.0,14553029679,Evening Ride
32,206.4,46.162704,6.150589,424.2,7.34,131,16,True,0.0,14553029679,Evening Ride
33,213.6,46.162668,6.150666,424.2,7.28,132,16,True,0.0,14553029679,Evening Ride
34,220.9,46.162628,6.150742,424.2,7.16,132,16,True,0.0,14553029679,Evening Ride
35,227.9,46.16259,6.150816,424.2,6.82,132,16,True,0.0,14553029679,Evening Ride
36,235.0,46.162554,6.150889,424.2,6.92,132,16,True,0.0,14553029679,Evening Ride
37,241.9,46.162519,6.150963,424.2,7.1,132,16,True,0.0,14553029679,Evening Ride
38,248.9,46.162483,6.151038,424.2,7.06,133,16,True,0.0,14553029679,Evening Ride
39,254.8,46.162454,6.151102,424.2,6.78,133,16,True,0.0,14553029679,Evening Ride
40,259.9,46.162432,6.15116,424.2,6.4,133,16,True,0.0,14553029679,Evening Ride
41,266.0,46.162403,6.151226,424.2,6.2,134,16,True,0.0,14553029679,Evening Ride
42,272.0,46.162374,6.151291,424.2,6.02,134,16,True,0.0,14553029679,Evening Ride
43,277.4,46.162346,6.15135,424.2,5.7,134,16,True,0.0,14553029679,Evening Ride
44,283.2,46.162315,6.151411,424.2,5.68,135,16,True,0.0,14553029679,Evening Ride
45,288.9,46.162289,6.151473,424.2,5.8,135,16,True,0.0,14553029679,Evening Ride
46,293.5,46.162268,6.151524,424.2,5.5,135,16,True,0.0,14553029679,Evening Ride
47,297.5,46.162248,6.151569,424.2,5.1,135,16,True,1.2,14553029679,Evening Ride
48,300.9,46.162233,6.151607,424.2,4.7,136,16,True,2.4,14553029679,Evening Ride
49,304.9,46.162216,6.151652,424.4,4.34,136,16,True,3.6,14553029679,Evening Ride
50,309.9,46.162193,6.151708,424.6,4.2,136,16,True,4.4,14553029679,Evening Ride
51,314.4,46.162174,6.15176,424.8,4.18,136,16,True,4.2,14553029679,Evening Ride
52,319.1,46.162153,6.151811,425.0,4.32,137,16,True,5.7,14553029679,Evening Ride
53,323.9,46.162126,6.151861,425.2,4.6,137,16,True,6.2,14553029679,Evening Ride
54,327.4,46.162104,6.151894,425.6,4.5,137,16,True,6.7,14553029679,Evening Ride
55,330.6,46.162082,6.15192,425.8,4.14,137,16,True,9.2,14553029679,Evening Ride
56,334.0,46.162056,6.151937,426.0,3.92,137,16,True,7.4,14553029679,Evening Ride
57,337.0,46.162031,6.151929,426.4,3.58,138,16,True,6.6,14553029679,Evening Ride
58,340.9,46.162001,6.151904,426.6,3.4,138,16,True,6.0,14553029679,Evening Ride
59,345.7,46.161964,6.15187,426.8,3.66,138,16,True,4.2,14553029679,Evening Ride
60,350.8,46.161926,6.151831,427.0,4.04,139,16,True,3.8,14553029679,Evening Ride
61,356.1,46.161886,6.151797,427.2,4.42,139,17,True,3.6,14553029679,Evening Ride
62,361.7,46.16184,6.151771,427.4,4.94,140,17,True,2.6,14553029679,Evening Ride
63,367.9,46.161786,6.151746,427.6,5.4,141,17,True,2.6,14553029679,Evening Ride
64,373.9,46.161737,6.151715,427.6,5.64,141,17,True,1.8,14553029679,Evening Ride
65,378.8,46.161699,6.151681,427.8,5.6,142,17,True,1.8,14553029679,Evening Ride
66,383.8,46.161663,6.151642,427.8,5.54,143,17,True,1.8,14553029679,Evening Ride
67,390.2,46.161611,6.151612,428.0,5.7,143,17,True,1.7,14553029679,Evening Ride
68,396.7,46.161555,6.151594,428.0,5.76,144,17,True,1.6,14553029679,Evening Ride
69,402.5,46.161507,6.151565,428.2,5.72,144,17,True,0.9,14553029679,Evening Ride
70,408.1,46.161464,6.151527,428.2,5.86,144,17,True,0.9,14553029679,Evening Ride
71,413.1,46.16143,6.151484,428.2,5.86,145,17,True,0.0,14553029679,Evening Ride
72,418.3,46.161405,6.151429,428.2,5.62,145,17,True,0.0,14553029679,Evening Ride
73,423.9,46.161377,6.151371,428.2,5.44,145,17,True,0.0,14553029679,Evening Ride
74,429.5,46.161339,6.151326,428.2,5.4,145,17,True,0.0,14553029679,Evening Ride
75,435.3,46.161293,6.151291,428.2,5.44,146,17,True,0.0,14553029679,Evening Ride
76,442.0,46.161234,6.151262,428.2,5.78,146,17,True,0.0,14553029679,Evening Ride
77,449.5,46.161169,6.151237,428.2,6.24,146,17,True,0.0,14553029679,Evening Ride
78,457.1,46.161104,6.151212,428.2,6.64,146,17,True,0.7,14553029679,Evening Ride
79,464.7,46.161037,6.151191,428.2,7.04,146,17,True,0.6,14553029679,Evening Ride
80,472.3,46.16097,6.151177,428.4,7.4,146,17,True,0.6,14553029679,Evening Ride
81,480.4,46.160898,6.151158,428.4,7.68,146,17,True,0.7,14553029679,Evening Ride
82,488.5,46.160825,6.15114,428.4,7.8,146,17,True,0.6,14553029679,Evening Ride
