time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,moving,grade_smooth,activity_id,activity_name
0,0.0,46.179615,6.138987,382.0,0.0,113,False,0.0,14712780298,Lunch Ride
1,4.0,46.179588,6.138995,382.0,0.0,114,True,0.0,14712780298,Lunch Ride
2,7.9,46.179561,6.139002,382.0,3.967,114,True,-1.1,14712780298,Lunch Ride
3,11.9,46.179535,6.13901,382.0,3.967,116,True,0.0,14712780298,Lunch Ride
4,18.6,46.179454,6.139032,381.8,4.65,117,True,0.9,14712780298,Lunch Ride
5,23.0,46.179414,6.139038,382.0,4.6,119,True,2.7,14712780298,Lunch Ride
6,29.6,46.179354,6.139037,382.2,5.127,122,True,5.7,14712780298,Lunch Ride
7,33.8,46.179316,6.139033,382.6,5.173,123,True,7.4,14712780298,Lunch Ride
8,39.5,46.179266,6.139025,383.0,5.52,125,True,9.0,14712780298,Lunch Ride
9,44.5,46.179221,6.139013,383.6,5.18,126,True,8.7,14712780298,Lunch Ride
10,49.6,46.179175,6.139008,384.0,5.32,126,True,10.3,14712780298,Lunch Ride
11,54.4,46.179133,6.138998,384.4,4.96,127,True,10.5,14712780298,Lunch Ride
12,59.0,46.179091,6.138986,385.0,5.04,127,True,12.0,14712780298,Lunch Ride
13,63.6,46.179053,6.138969,385.6,4.82,127,True,13.5,14712780298,Lunch Ride
14,67.9,46.179015,6.138949,386.2,4.68,127,True,12.8,14712780298,Lunch Ride
15,72.2,46.178981,6.138928,386.8,4.52,127,True,11.8,14712780298,Lunch Ride
16,76.2,46.178946,6.138906,387.2,4.36,127,True,11.0,14712780298,Lunch Ride
17,80.5,46.17891,6.138889,387.6,4.3,128,True,9.5,14712780298,Lunch Ride
18,84.3,46.178878,6.13887,388.0,4.14,129,True,9.5,14712780298,Lunch Ride
19,89.1,46.17884,6.13885,388.4,4.24,129,True,8.3,14712780298,Lunch Ride
20,93.1,46.178805,6.138834,388.8,4.18,129,True,8.0,14712780298,Lunch Ride
21,97.4,46.178767,6.138811,389.0,4.24,130,True,7.2,14712780298,Lunch Ride
22,101.7,46.178737,6.138784,389.4,4.24,131,True,7.2,14712780298,Lunch Ride
23,105.7,46.178702,6.138763,389.6,4.28,132,True,8.5,14712780298,Lunch Ride
24,109.8,46.178668,6.138748,390.0,4.14,133,True,7.5,14712780298,Lunch Ride
25,113.8,46.178634,6.138733,390.4,4.14,134,True,8.6,14712780298,Lunch Ride
26,117.8,46.178599,6.138716,390.6,4.08,134,True,8.4,14712780298,Lunch Ride
27,122.0,46.178561,6.138701,391.0,4.06,135,True,8.4,14712780298,Lunch Ride
28,126.4,46.178523,6.138686,391.4,4.14,136,True,8.4,14712780298,Lunch Ride
29,130.4,46.178489,6.138673,391.8,4.12,136,True,8.6,14712780298,Lunch Ride
30,134.4,46.178454,6.138663,392.0,4.12,136,True,7.6,14712780298,Lunch Ride
31,138.2,46.17842,6.138651,392.4,4.08,137,True,6.5,14712780298,Lunch Ride
32,142.2,46.178386,6.138638,392.6,4.04,137,True,5.1,14712780298,Lunch Ride
33,145.9,46.178355,6.138623,392.8,3.9,138,True,3.7,14712780298,Lunch Ride
34,150.0,46.17832,6.138611,392.8,3.92,138,True,2.5,14712780298,Lunch Ride
35,154.3,46.178279,6.138602,393.0,3.98,138,True,0.0,14712780298,Lunch Ride
36,158.2,46.178245,6.138593,393.0,4.0,139,True,-2.5,14712780298,Lunch Ride
37,161.9,46.178214,6.138588,392.8,3.94,139,True,-5.1,14712780298,Lunch Ride
38,165.7,46.17818,6.138582,392.4,3.96,140,True,-6.3,14712780298,Lunch Ride
39,169.9,46.178141,6.138582,392.2,3.98,140,True,-3.6,14712780298,Lunch Ride
40,174.2,46.178103,6.138582,392.0,3.98,140,True,0.0,14712780298,Lunch Ride
41,178.7,46.178061,6.138576,392.2,4.1,141,True,3.5,14712780298,Lunch Ride
42,182.8,46.178027,6.138568,392.4,4.18,141,True,6.0,14712780298,Lunch Ride
43,186.9,46.177989,6.138561,392.8,4.24,141,True,5.0,14712780298,Lunch Ride
44,190.9,46.177955,6.138551,393.0,4.2,141,True,3.7,14712780298,Lunch Ride
45,194.8,46.17792,6.138545,393.0,4.12,141,True,2.4,14712780298,Lunch Ride
46,198.9,46.177882,6.138536,393.0,4.04,141,True,1.2,14712780298,Lunch Ride
47,203.3,46.177844,6.138525,393.2,4.1,141,True,1.2,14712780298,Lunch Ride
48,207.5,46.177806,6.138513,393.2,4.12,142,True,2.3,14712780298,Lunch Ride
49,211.8,46.177767,6.138501,393.2,4.18,143,True,1.1,14712780298,Lunch Ride
50,216.5,46.177725,6.138493,393.4,4.34,143,True,2.2,14712780298,Lunch Ride
51,221.0,46.177687,6.138484,393.4,4.42,143,True,2.2,14712780298,Lunch Ride
52,225.4,46.177649,6.13847,393.6,4.42,144,True,2.3,14712780298,Lunch Ride
53,229.6,46.177611,6.138454,393.6,4.42,145,True,2.3,14712780298,Lunch Ride
54,233.9,46.177577,6.13844,393.8,4.42,145,True,1.2,14712780298,Lunch Ride
55,238.2,46.177538,6.138421,393.8,4.34,145,True,1.2,14712780298,Lunch Ride
56,242.5,46.1775,6.138404,393.8,4.3,146,True,0.0,14712780298,Lunch Ride
57,246.6,46.177466,6.138388,393.8,4.24,146,True,0.0,14712780298,Lunch Ride
58,251.0,46.177428,6.138373,393.8,4.28,146,True,1.1,14712780298,Lunch Ride
59,255.4,46.17739,6.138356,393.8,4.3,146,True,2.3,14712780298,Lunch Ride
60,260.0,46.177352,6.138339,394.0,4.36,146,True,3.4,14712780298,Lunch Ride
61,264.2,46.177317,6.138321,394.2,4.34,145,True,4.5,14712780298,Lunch Ride
62,268.8,46.177276,6.138299,394.4,4.44,145,True,4.6,14712780298,Lunch Ride
63,273.2,46.177241,6.138276,394.6,4.44,144,True,4.6,14712780298,Lunch Ride
64,277.4,46.177207,6.138251,394.8,4.4,144,True,4.7,14712780298,Lunch Ride
65,281.6,46.177173,6.138229,395.0,4.32,144,True,4.7,14712780298,Lunch Ride
66,285.9,46.177138,6.138206,395.2,4.34,144,True,3.7,14712780298,Lunch Ride
67,290.2,46.1771,6.138186,395.4,4.28,144,True,3.5,14712780298,Lunch Ride
68,293.5,46.177073,6.138171,395.4,4.06,144,True,2.3,14712780298,Lunch Ride
69,298.8,46.177027,6.138148,395.6,4.28,144,True,2.3,14712780298,Lunch Ride
70,303.1,46.176993,6.138128,395.6,4.3,144,True,3.2,14712780298,Lunch Ride
71,307.6,46.176955,6.138111,395.8,4.34,144,True,3.4,14712780298,Lunch Ride
72,312.0,46.176917,6.138096,396.0,4.36,144,True,4.4,14712780298,Lunch Ride
73,316.6,46.176875,6.138083,396.2,4.62,144,True,4.4,14712780298,Lunch Ride
74,321.1,46.176837,6.13807,396.4,4.46,144,True,5.5,14712780298,Lunch Ride
75,325.8,46.176795,6.13806,396.6,4.54,144,True,5.5,14712780298,Lunch Ride
76,330.3,46.176753,6.138051,397.0,4.54,144,True,4.4,14712780298,Lunch Ride
77,334.8,46.176714,6.138047,397.2,4.56,145,True,4.5,14712780298,Lunch Ride
78,339.2,46.176673,6.138041,397.2,4.52,145,True,3.4,14712780298,Lunch Ride
79,343.7,46.176634,6.138038,397.4,4.52,145,True,3.4,14712780298,Lunch Ride
80,348.1,46.176593,6.138038,397.6,4.46,145,True,3.4,14712780298,Lunch Ride
81,352.4,46.176554,6.13804,397.8,4.42,145,True,3.4,14712780298,Lunch Ride
82,356.9,46.176516,6.138043,397.8,4.42,145,True,3.3,14712780298,Lunch Ride
83,361.5,46.176474,6.138047,398.0,4.46,145,True,2.2,14712780298,Lunch Ride
84,366.2,46.176432,6.138052,398.2,4.5,145,True,3.2,14712780298,Lunch Ride
85,371.0,46.17639,6.138058,398.2,4.58,145,True,2.2,14712780298,Lunch Ride
86,375.6,46.176348,6.138064,398.4,4.64,145,True,2.2,14712780298,Lunch Ride
87,380.1,46.176306,6.138067,398.4,4.64,145,True,1.1,14712780298,Lunch Ride
88,384.7,46.176264,6.138067,398.6,4.64,146,True,1.1,14712780298,Lunch Ride
89,389.0,46.176226,6.138063,398.4,4.56,146,True,1.1,14712780298,Lunch Ride
90,393.3,46.176188,6.13806,398.6,4.46,146,True,0.0,14712780298,Lunch Ride
91,397.7,46.17615,6.138055,398.6,4.42,146,True,1.1,14712780298,Lunch Ride
92,401.9,46.176112,6.138046,398.6,4.36,146,True,1.1,14712780298,Lunch Ride
93,406.4,46.176073,6.13804,398.6,4.34,147,True,2.2,14712780298,Lunch Ride
94,411.3,46.176028,6.138042,398.8,4.46,147,True,3.1,14712780298,Lunch Ride
95,416.2,46.175982,6.138045,399.0,4.58,147,True,5.2,14712780298,Lunch Ride
96,421.3,46.175937,6.138047,399.2,4.72,147,True,5.3,14712780298,Lunch Ride
97,425.5,46.175902,6.138052,399.6,4.72,147,True,5.1,14712780298,Lunch Ride
98,430.3,46.175856,6.138057,399.8,4.78,147,True,6.1,14712780298,Lunch Ride
99,435.9,46.175806,6.138064,400.0,4.92,147,True,5.9,14712780298,Lunch Ride
100,440.9,46.175761,6.13807,400.4,4.94,147,True,5.8,14712780298,Lunch Ride
101,445.9,46.175719,6.138075,400.8,4.92,147,True,7.0,14712780298,Lunch Ride
102,451.0,46.175673,6.138084,401.0,5.1,148,True,6.9,14712780298,Lunch Ride
103,456.0,46.175627,6.138096,401.4,5.14,148,True,5.7,14712780298,Lunch Ride
104,461.3,46.175581,6.138114,401.8,5.08,147,True,6.5,14712780298,Lunch Ride
105,467.0,46.175532,6.138131,402.0,5.22,147,True,5.4,14712780298,Lunch Ride
106,472.6,46.175482,6.138145,402.4,5.34,147,True,3.5,14712780298,Lunch Ride
107,478.1,46.175433,6.138161,402.6,5.42,147,True,2.6,14712780298,Lunch Ride
108,483.9,46.175387,6.138187,402.6,5.58,146,True,0.8,14712780298,Lunch Ride
109,490.3,46.175329,6.138209,402.6,5.8,146,True,0.0,14712780298,Lunch Ride
110,496.5,46.175276,6.138224,402.6,5.9,146,True,0.0,14712780298,Lunch Ride
111,503.1,46.175215,6.138246,402.6,6.1,146,True,0.8,14712780298,Lunch Ride
112,509.8,46.175166,6.13829,402.6,6.34,145,True,0.7,14712780298,Lunch Ride
113,515.3,46.175127,6.138334,402.8,6.28,145,True,2.2,14712780298,Lunch Ride
114,523.3,46.175078,6.138411,402.8,6.6,144,True,3.0,14712780298,Lunch Ride
115,530.0,46.175044,6.13848,403.2,6.7,143,True,3.1,14712780298,Lunch Ride
116,536.3,46.17501,6.138547,403.4,6.64,142,True,4.2,14712780298,Lunch Ride
117,541.2,46.174979,6.138595,403.6,6.28,142,True,3.5,14712780298,Lunch Ride
